random_seed,num_steps,mae_a,mae_h,accuracy,runtime
167,10,1.556,0.679,0.782,1.317
16,10,4.319,0.961,0.155,1.322
17,10,9.347,0.796,0.19,1.314
167,25,1.735,8.235,0.306,1.913
16,25,1.677,2.379,0.165,1.921
17,25,4.965,2.219,0.057,1.914
167,50,1.619,27.875,0.279,3.052
16,50,1.273,9.399,0.156,3.0
17,50,1.775,15.103,0.162,3.044
167,100,2.423,250.157,0.297,5.628
16,100,3.459,284.998,0.135,5.706
17,100,1.344,313.849,0.152,5.697
167,250,8.068,27112.25,0.21,17.027
16,250,169.291,354417.895,0.174,16.823
17,250,98.377,1723575.444,0.232,16.437
167,500,701.951,775907871.139,0.221,49.226
16,500,806336.112,15365866446632.143,0.068,45.561
17,500,253066.377,1.1706196335715228e+16,0.235,45.204
