random_seed,num_trajectories,mae_a,mae_h,accuracy,runtime
16,100,0.478,1.168,0.84,0.524
17,100,0.583,1.827,0.72,0.53
18,100,0.309,0.158,0.96,0.528
19,100,0.615,1.39,0.78,0.529
20,100,0.544,1.584,0.92,0.54
16,250,0.295,0.964,0.88,0.772
17,250,0.243,0.467,0.88,0.757
18,250,0.172,0.072,1.0,0.77
19,250,0.286,0.605,0.84,0.768
20,250,0.365,0.925,0.86,0.774
16,500,0.27,1.083,0.84,1.156
17,500,0.206,0.44,0.92,1.167
18,500,0.163,0.408,0.88,1.164
19,500,0.308,0.779,0.84,1.175
20,500,0.263,0.134,0.96,1.157
16,1000,0.146,0.458,0.96,1.966
17,1000,0.184,0.078,1.0,1.95
18,1000,0.15,0.057,1.0,1.791
19,1000,0.188,0.204,0.92,1.977
20,1000,0.2,0.085,1.0,1.954
16,2500,0.099,0.057,1.0,4.457
17,2500,0.164,0.068,1.0,4.336
18,2500,0.093,0.051,1.0,4.319
19,2500,0.109,0.07,1.0,4.328
20,2500,0.191,0.071,1.0,4.403
16,5000,0.085,0.058,1.0,8.51
17,5000,0.156,0.062,1.0,8.345
18,5000,0.08,0.05,1.0,8.766
19,5000,0.083,0.066,1.0,8.609
20,5000,0.17,0.069,1.0,8.622
16,10000,0.064,0.059,1.0,16.758
17,10000,0.152,0.058,1.0,17.1
18,10000,0.08,0.047,1.0,16.958
19,10000,0.076,0.065,1.0,16.951
20,10000,0.173,0.07,1.0,16.678
16,20000,0.055,0.057,1.0,34.594
17,20000,0.146,0.055,1.0,34.223
18,20000,0.081,0.049,1.0,34.216
19,20000,0.071,0.068,1.0,33.978
20,20000,0.175,0.067,1.0,34.047
16,30000,0.057,0.057,1.0,53.927
17,30000,0.148,0.055,1.0,51.311
18,30000,0.079,0.048,1.0,51.294
19,30000,0.065,0.07,1.0,51.68
20,30000,0.175,0.067,1.0,51.061
16,50000,0.055,0.059,1.0,88.181
17,50000,0.148,0.054,1.0,85.922
18,50000,0.081,0.049,1.0,86.871
19,50000,0.062,0.069,1.0,88.323
20,50000,0.173,0.068,1.0,87.12
