random_seed,num_steps,mae_a,mae_h,accuracy,runtime
16,10,0.446,0.275,1.0,0.562
17,10,0.802,0.28,1.0,0.568
18,10,0.758,0.228,1.0,0.558
19,10,0.616,0.342,1.0,0.56
20,10,0.747,0.319,1.0,0.555
16,25,0.178,0.107,1.0,1.344
17,25,0.267,0.125,1.0,1.353
18,25,0.173,0.1,1.0,1.36
19,25,0.142,0.122,1.0,1.382
20,25,0.316,0.154,1.0,1.333
16,50,0.109,0.165,0.96,3.233
17,50,0.164,0.068,1.0,3.279
18,50,0.108,0.051,1.0,3.223
19,50,0.137,0.079,0.96,3.29
20,50,0.198,0.071,1.0,3.259
16,100,0.066,0.032,1.0,9.167
17,100,0.148,0.039,1.0,9.209
18,100,0.089,0.029,1.0,9.309
19,100,0.145,2.765,0.84,9.07
20,100,0.06,0.033,1.0,9.524
16,250,0.03,0.015,1.0,45.404
17,250,0.099,0.02,1.0,45.665
18,250,0.113,0.013,1.0,46.526
19,250,0.104,0.016,1.0,46.496
20,250,0.025,0.016,1.0,43.279
16,500,0.05,0.008,1.0,154.698
17,500,1128495.432,5.0482382257435016e+16,0.852,154.323
18,500,604962.23,1.2321219428391557e+17,0.808,154.278
19,500,0.08,0.011,1.0,157.178
20,500,7988655.746,9.186573400618466e+21,0.606,153.701
16,750,3775342.632,2.1243264450127974e+22,0.624,335.888
17,750,311.736,8.759796194233418e+23,0.649,359.177
18,750,2972.046,1.6986897647364416e+26,0.017,363.667
19,750,1285298.495,1.0624419906181306e+17,0.859,334.435
20,750,1.496,1.7895885377000947e+33,0.452,337.182
