num_steps,method_name,random_seed,rmse,accuracy
60,our+mle,167,4.77159788336382e-13,1.0
60,our+mle,16,4.77159788336382e-13,1.0
60,our+mle,17,4.77159788336382e-13,1.0
60,our+mle,42,4.77159788336382e-13,1.0
60,our+mle,201,4.77159788336382e-13,1.0
80,our+mle,167,6.534768482742909e-13,1.0
80,our+mle,16,6.534768482742909e-13,1.0
80,our+mle,17,6.534768482742909e-13,1.0
80,our+mle,42,6.534768482742909e-13,1.0
80,our+mle,201,6.534768482742909e-13,1.0
100,our+mle,167,6.133191530993381e-13,1.0
100,our+mle,16,6.133191530993381e-13,1.0
100,our+mle,17,6.133191530993381e-13,1.0
100,our+mle,42,6.133191530993381e-13,1.0
100,our+mle,201,6.133191530993381e-13,1.0
60,mst+mle,167,4.77159788336382e-13,0.9666666666666668
60,mst+mle,16,4.788902012260503e-13,0.8666666666666669
60,mst+mle,17,4.701744556064234e-13,0.7333333333333333
60,mst+mle,42,4.93353722235607e-13,0.6972
60,mst+mle,201,1.004260903279262e-12,0.0
80,mst+mle,167,6.483938203978168e-13,0.62
80,mst+mle,16,6.560035927346074e-13,0.8964000000000002
80,mst+mle,17,6.681846568318496e-13,0.4500000000000001
80,mst+mle,42,7.028752526923222e-13,0.325
80,mst+mle,201,8.462455998808997e-13,0.125
100,mst+mle,167,6.306084993756967e-13,0.6998399999999999
100,mst+mle,16,6.146663686778343e-13,0.8448000000000002
100,mst+mle,17,7.893502368439298e-13,0.25688
100,mst+mle,42,8.082486552811292e-13,0.1984
100,mst+mle,201,9.809270347749161e-13,0.07968
60,dpt+mle,167,5.371026332349046e-13,0.8333333333333334
60,dpt+mle,16,5.371026332349046e-13,0.8333333333333334
60,dpt+mle,17,5.371026332349046e-13,0.8333333333333334
60,dpt+mle,42,5.371026332349046e-13,0.8333333333333334
60,dpt+mle,201,5.371026332349046e-13,0.8333333333333334
80,dpt+mle,167,6.483938203978168e-13,0.825
80,dpt+mle,16,6.483938203978168e-13,0.825
80,dpt+mle,17,6.483938203978168e-13,0.825
80,dpt+mle,42,6.483938203978168e-13,0.825
80,dpt+mle,201,6.483938203978168e-13,0.825
100,dpt+mle,167,1.0599613516539883e-12,0.13
100,dpt+mle,16,1.0599613516539883e-12,0.13
100,dpt+mle,17,1.0599613516539883e-12,0.13
100,dpt+mle,42,1.0599613516539883e-12,0.13
100,dpt+mle,201,1.0599613516539883e-12,0.13
60,our+mle,167,6.827934784169858e-11,1.0
60,our+mle,167,7.288752050371155e-11,1.0
60,our+mle,167,2.0701908732228582e-10,1.0
60,our+mle,167,254.054239253843,1.0
60,our+mle,167,254.05152238577773,1.0
60,our+mle,167,254.05152238577773,1.0
60,our+mle,167,254.05683785193546,1.0
60,mst+mle,167,254.12381303095037,0.5568
60,mst+mle,167,254.12381303095037,0.5568
60,mst+mle,167,254.12381303095037,0.5568
